state,period_id,transaction_count_difference,transaction_amount_difference,registered_users_difference,registered_merchants_difference
dadra & nagar haveli & daman & diu,8085,0,-9.5367431640625e-07,0,0
dadra & nagar haveli & daman & diu,8086,0,9.5367431640625e-07,0,0
dadra & nagar haveli & daman & diu,8087,0,0.0,0,0
dadra & nagar haveli & daman & diu,8088,0,0.0,0,0
dadra & nagar haveli & daman & diu,8089,0,0.0,0,0
dadra & nagar haveli & daman & diu,8090,0,1.9073486328125e-06,0,0
dadra & nagar haveli & daman & diu,8091,0,-1.9073486328125e-06,0,0
dadra & nagar haveli & daman & diu,8092,0,0.0,0,0
dadra & nagar haveli & daman & diu,8093,0,-3.814697265625e-06,0,0
dadra & nagar haveli & daman & diu,8094,0,3.814697265625e-06,0,0
dadra & nagar haveli & daman & diu,8095,0,-3.814697265625e-06,0,0
dadra & nagar haveli & daman & diu,8096,0,-7.62939453125e-06,0,0
dadra & nagar haveli & daman & diu,8097,0,0.0,0,0
dadra & nagar haveli & daman & diu,8098,0,-7.62939453125e-06,0,0
dadra & nagar haveli & daman & diu,8099,0,0.0,0,0
dadra & nagar haveli & daman & diu,8100,0,1.1444091796875e-05,0,0
dadra & nagar haveli & daman & diu,8101,0,3.814697265625e-06,0,0
dadra & nagar haveli & daman & diu,8102,0,0.0,0,0
dadra & nagar haveli & daman & diu,8103,0,-3.814697265625e-06,0,0
dadra & nagar haveli & daman & diu,8104,0,-3.814697265625e-06,0,0
dadra & nagar haveli & daman & diu,8105,0,7.62939453125e-06,0,0
delhi,8072,0,5.7220458984375e-06,0,0
delhi,8073,0,5.7220458984375e-06,0,0
delhi,8074,0,-1.9073486328125e-05,0,0
delhi,8075,0,-3.0517578125e-05,0,0
delhi,8076,0,3.0517578125e-05,0,0
delhi,8077,0,7.62939453125e-06,0,0
delhi,8078,0,-4.57763671875e-05,0,0
delhi,8079,0,-1.52587890625e-05,0,0
delhi,8080,0,-9.1552734375e-05,0,0
delhi,8081,0,0.0,0,0
delhi,8082,0,3.0517578125e-05,0,0
delhi,8083,0,-0.000152587890625,0,0
delhi,8084,0,-9.1552734375e-05,0,0
delhi,8085,0,-3.0517578125e-05,0,0
delhi,8086,0,0.000244140625,0,0
delhi,8087,0,-0.000244140625,0,0
delhi,8088,0,0.0001220703125,0,0
delhi,8089,0,-6.103515625e-05,0,0
delhi,8090,0,0.000732421875,0,0
delhi,8091,0,0.0003662109375,0,0
delhi,8092,0,0.0003662109375,0,0
delhi,8093,0,0.0003662109375,0,0
delhi,8094,0,-0.0003662109375,0,0
delhi,8095,0,0.0003662109375,0,0
delhi,8096,0,-0.0006103515625,0,0
delhi,8097,0,-0.000732421875,0,0
delhi,8098,0,-0.0003662109375,0,0
delhi,8099,0,0.0,0,0
delhi,8100,0,0.0,0,0
delhi,8101,0,-0.000244140625,0,0
delhi,8102,0,-0.000732421875,0,0
delhi,8103,0,0.000732421875,0,0
delhi,8104,0,-0.000244140625,0,0
delhi,8105,0,0.0,0,0
goa,8072,0,4.76837158203125e-07,0,
goa,8073,0,-4.76837158203125e-07,0,0
goa,8074,0,7.152557373046875e-07,0,0
goa,8075,0,-4.76837158203125e-06,0,0
goa,8076,0,1.1920928955078125e-06,0,0
goa,8077,0,2.86102294921875e-06,0,0
goa,8078,0,1.430511474609375e-06,0,0
goa,8079,0,6.67572021484375e-06,0,0
goa,8080,0,-9.5367431640625e-06,0,0
goa,8081,0,4.76837158203125e-06,0,0
goa,8082,0,-5.245208740234375e-06,0,0
goa,8083,0,1.9073486328125e-05,0,0
goa,8084,0,-7.62939453125e-06,0,0
goa,8085,0,-3.814697265625e-06,0,0
goa,8086,0,-1.9073486328125e-06,0,0
goa,8087,0,2.288818359375e-05,0,0
goa,8088,0,1.9073486328125e-05,0,0
goa,8089,0,2.6702880859375e-05,0,0
goa,8090,0,4.9591064453125e-05,0,0
goa,8091,0,4.57763671875e-05,0,0
goa,8092,0,-3.814697265625e-05,0,0
goa,8093,0,3.0517578125e-05,0,0
goa,8094,0,1.52587890625e-05,0,0
goa,8095,0,0.0,0,0
goa,8096,0,0.0,0,0
goa,8097,0,0.0001373291015625,0,0
goa,8098,0,-3.814697265625e-05,0,0
goa,8099,0,2.288818359375e-05,0,0
goa,8100,0,0.0,0,0
goa,8101,0,4.57763671875e-05,0,0
goa,8102,0,-7.62939453125e-06,0,0
goa,8103,0,0.0,0,0
goa,8104,0,-1.52587890625e-05,0,0
goa,8105,0,1.52587890625e-05,0,0
gujarat,8072,0,7.82012939453125e-05,0,0
gujarat,8073,0,-0.0001239776611328125,0,0
gujarat,8074,0,-0.0016937255859375,0,0
gujarat,8075,0,0.0019683837890625,0,0
gujarat,8076,0,-0.00025177001953125,0,0
gujarat,8077,0,-0.0011749267578125,0,0
gujarat,8078,0,-0.0009613037109375,0,0
gujarat,8079,0,0.002655029296875,0,0
gujarat,8080,0,0.0051422119140625,0,0
gujarat,8081,0,-0.0013427734375,0,0
gujarat,8082,0,-0.006011962890625,0,0
gujarat,8083,0,-0.004974365234375,0,0
gujarat,8084,0,-0.001068115234375,0,0
gujarat,8085,0,-0.003662109375,0,0
gujarat,8086,0,-0.0093994140625,0,0
gujarat,8087,0,-0.0093994140625,0,0
gujarat,8088,0,-0.001953125,0,0
gujarat,8089,0,-0.0009765625,0,0
gujarat,8090,0,-0.01678466796875,0,0
gujarat,8091,0,-0.03118896484375,0,0
gujarat,8092,0,0.0009765625,0,0
gujarat,8093,0,-0.0250244140625,0,0
gujarat,8094,0,-0.011962890625,0,0
gujarat,8095,0,-0.0377197265625,0,0
gujarat,8096,0,-0.0035400390625,0,0
gujarat,8097,0,0.02099609375,0,0
gujarat,8098,0,0.044677734375,0,0
gujarat,8099,0,-0.00390625,0,0
gujarat,8100,0,0.060791015625,0,0
gujarat,8101,0,0.01904296875,0,0
gujarat,8102,0,-0.026611328125,0,0
gujarat,8103,0,-0.015869140625,0,0
gujarat,8104,0,-0.00244140625,0,0
gujarat,8105,0,0.0087890625,0,0
haryana,8072,0,8.20159912109375e-05,0,0
haryana,8073,0,-0.00011444091796875,0,0
haryana,8074,0,-0.00043487548828125,0,0
haryana,8075,0,0.00063323974609375,0,0
haryana,8076,0,-0.0003814697265625,0,0
haryana,8077,0,-0.00034332275390625,0,0
haryana,8078,0,-0.000396728515625,0,0
haryana,8079,0,0.0019073486328125,0,0
haryana,8080,0,0.00048828125,0,0
haryana,8081,0,0.001220703125,0,0
haryana,8082,0,-0.0013427734375,0,0
haryana,8083,0,-0.001983642578125,0,0
haryana,8084,0,0.00030517578125,0,0
haryana,8085,0,-0.000244140625,0,0
haryana,8086,0,-0.00250244140625,0,0
haryana,8087,0,0.00146484375,0,0
haryana,8088,0,0.0013427734375,0,0
haryana,8089,0,0.0013427734375,0,0
haryana,8090,0,0.0,0,0
haryana,8091,0,-0.0042724609375,0,0
haryana,8092,0,-0.0003662109375,0,0
haryana,8093,0,0.000244140625,0,0
haryana,8094,0,0.00146484375,0,0
haryana,8095,0,-0.0029296875,0,0
haryana,8096,0,-0.0020751953125,0,0
haryana,8097,0,0.0010986328125,0,0
haryana,8098,0,0.0018310546875,0,0
haryana,8099,0,-0.0001220703125,0,0
haryana,8100,0,0.0006103515625,0,0
haryana,8101,0,-0.0023193359375,0,0
haryana,8102,0,-0.0018310546875,0,0
haryana,8103,0,-0.00048828125,0,0
haryana,8104,0,-0.005126953125,0,0
haryana,8105,0,0.00244140625,0,0
himachal pradesh,8072,0,-1.7881393432617188e-06,0,
himachal pradesh,8073,0,2.1457672119140625e-06,0,0
himachal pradesh,8074,0,1.0251998901367188e-05,0,0
himachal pradesh,8075,0,-8.153915405273438e-05,0,0
himachal pradesh,8076,0,-3.3855438232421875e-05,0,0
himachal pradesh,8077,0,7.05718994140625e-05,0,0
himachal pradesh,8078,0,8.58306884765625e-06,0,0
himachal pradesh,8079,0,0.000102996826171875,0,0
himachal pradesh,8080,0,-1.811981201171875e-05,0,0
himachal pradesh,8081,0,4.291534423828125e-05,0,0
himachal pradesh,8082,0,-7.43865966796875e-05,0,0
himachal pradesh,8083,0,0.0001697540283203125,0,0
himachal pradesh,8084,0,-5.340576171875e-05,0,0
himachal pradesh,8085,0,0.00011444091796875,0,0
himachal pradesh,8086,0,0.0001220703125,0,0
himachal pradesh,8087,0,0.00016021728515625,0,0
himachal pradesh,8088,0,5.7220458984375e-05,0,0
himachal pradesh,8089,0,0.00014495849609375,0,0
himachal pradesh,8090,0,0.000457763671875,0,0
himachal pradesh,8091,0,0.0005950927734375,0,0
himachal pradesh,8092,0,0.00022125244140625,0,0
himachal pradesh,8093,0,0.0004425048828125,0,0
himachal pradesh,8094,0,-3.814697265625e-05,0,0
himachal pradesh,8095,0,-0.00011444091796875,0,0
himachal pradesh,8096,0,0.00017547607421875,0,0
himachal pradesh,8097,0,0.000457763671875,0,0
himachal pradesh,8098,0,-0.000396728515625,0,0
himachal pradesh,8099,0,-0.0001068115234375,0,0
himachal pradesh,8100,0,-0.00028228759765625,0,0
himachal pradesh,8101,0,0.0002288818359375,0,0
himachal pradesh,8102,0,0.000518798828125,0,0
himachal pradesh,8103,0,-6.103515625e-05,0,0
himachal pradesh,8104,0,0.00030517578125,0,0
himachal pradesh,8105,0,4.57763671875e-05,0,0
jammu & kashmir,8072,0,-1.0728836059570312e-06,0,0
