state,district,period_id,year,quarter,transactions,value_inr,registered_users,registered_merchants
goa,,8076,2019,1,869079,1729283766.1123345,248825,766
goa,,8077,2019,2,1066466,2165028896.673666,290801,1863
goa,,8078,2019,3,1351959,2683370624.34643,331094,3458
goa,,8079,2019,4,1901461,3915138021.176736,370015,4792
goa,,8080,2020,1,2308644,4491991521.593598,410941,5584
goa,,8081,2020,2,1740286,2715145069.5507383,451839,6457
goa,,8082,2020,3,2133105,3765761100.712038,499358,7492
goa,,8083,2020,4,4146283,7565195670.719751,553679,9461
goa,,8084,2021,1,6169621,11178477599.490131,596406,11748
goa,,8085,2021,2,5343431,8784725625.06963,634949,12752
goa,,8086,2021,3,7417529,11618809271.817026,677726,14847
goa,,8087,2021,4,11465988,18743523947.17128,720435,17696
goa,,8088,2022,1,13928876,21935946828.799046,759279,20221
goa,,8089,2022,2,16022094,24878187518.779408,796871,21786
goa,,8090,2022,3,17781281,25811794705.68304,835257,23829
goa,,8091,2022,4,23220664,33502458362.18222,871837,25200
goa,,8092,2023,1,24526280,35270734819.251785,904953,25609
goa,,8093,2023,2,26864800,38615163972.77406,935702,26285
goa,,8094,2023,3,27248674,37450380521.6337,967033,27362
goa,,8095,2023,4,33643920,44395207299.52843,1001527,28389
goa,,8096,2024,1,35146111,45445685425.66287,1039130,29320
goa,,8097,2024,2,37182439,47519409391.04823,1078255,30281
goa,,8098,2024,3,36966358,45991002795.0858,1117049,31250
goa,,8099,2024,4,46318894,56637741193.07748,1151724,32281
goa,,8100,2025,1,49193973,58807211950.65007,1185550,33494
goa,,8101,2025,2,45771675,55369449580.35414,1218114,34446
goa,,8102,2025,3,46150727,54338864093.71546,1252705,35183
goa,,8103,2025,4,52951592,63813316867.88237,1289056,35734
goa,,8104,2026,1,55169116,67324007480.50716,1325289,36079
goa,,8105,2026,2,55208797,69089808304.2454,1347940,36404
gujarat,,8072,2018,1,6635512,8197590210.3636875,2813458,23
gujarat,,8073,2018,2,8576111,13039616415.945614,3729318,112
gujarat,,8074,2018,3,12242103,18865469253.16249,4601012,274
gujarat,,8075,2018,4,16308079,26472137603.705414,5796205,1087
gujarat,,8076,2019,1,26455226,36847763352.85492,6920980,50733
gujarat,,8077,2019,2,27791578,46130544795.746445,7878532,218360
gujarat,,8078,2019,3,36868399,55866174464.90448,8815169,379073
gujarat,,8079,2019,4,41410517,73077071811.67056,9739656,479820
gujarat,,8080,2020,1,47012185,84177281289.14142,10722212,575783
gujarat,,8081,2020,2,44779825,70966369720.57262,11915415,623195
gujarat,,8082,2020,3,58773255,107948689525.47961,13038677,757523
gujarat,,8083,2020,4,77350802,145043226247.8315,14183614,915535
gujarat,,8084,2021,1,92994867,178693454967.36502,15212633,1057340
gujarat,,8085,2021,2,108741359,203060508004.0047,16194721,1139225
gujarat,,8086,2021,3,146565806,266874951666.12268,17323185,1237105
gujarat,,8087,2021,4,155616570,290763968555.83673,18430583,1293971
gujarat,,8088,2022,1,202167410,375175981366.9569,19483483,1418981
gujarat,,8089,2022,2,242865983,425192027731.0801,20492610,1508860
gujarat,,8090,2022,3,298170347,492460968385.96,21579615,1575338
gujarat,,8091,2022,4,329074518,548039488289.37463,22608675,1624532
gujarat,,8092,2023,1,369002002,602862655965.1804,23551635,1582606
gujarat,,8093,2023,2,425451706,650588973801.5613,24442139,1606526
gujarat,,8094,2023,3,485612014,713336692583.1819,25381367,1639176
gujarat,,8095,2023,4,542379120,803395243183.7517,26346004,1672361
gujarat,,8096,2024,1,614098314,881020106441.8213,27405423,1734621
gujarat,,8097,2024,2,701921455,919028632147.8857,28470147,1790863
gujarat,,8098,2024,3,763687586,970256325961.4185,29515495,1845568
gujarat,,8099,2024,4,831355510,1082230469473.0231,30455926,1897442
gujarat,,8100,2025,1,902261206,1110857728436.5906,31378561,1942361
gujarat,,8101,2025,2,919508876,1074252324352.9222,32256294,1982430
gujarat,,8102,2025,3,1045353791,1155632518250.8823,33195778,2020150
gujarat,,8103,2025,4,1048194862,1234864382391.2158,34132806,2064443
gujarat,,8104,2026,1,1127537297,1294388577019.7559,34953549,2100808
gujarat,,8105,2026,2,1157902686,1297688887688.3652,36083882,2136458
haryana,,8072,2018,1,5044397,7580699902.527901,1988481,4
haryana,,8073,2018,2,6867153,12521529537.944519,2621706,168
haryana,,8074,2018,3,9035319,17864845143.183334,3194626,3949
haryana,,8075,2018,4,14526062,27650255494.451317,3994128,29642
haryana,,8076,2019,1,25636840,38591994904.580345,4759566,120132
haryana,,8077,2019,2,28298601,51094727148.558624,5414773,192408
haryana,,8078,2019,3,36134187,62880149756.33475,6054463,260991
haryana,,8079,2019,4,44740993,82429204420.11588,6642686,318003
haryana,,8080,2020,1,51339201,94252119542.41226,7305629,376341
haryana,,8081,2020,2,46499694,89232924843.01035,7982067,404251
haryana,,8082,2020,3,67366856,128348575809.31851,8695590,495270
haryana,,8083,2020,4,91338622,176138927815.97955,9406195,596567
haryana,,8084,2021,1,105784676,194682830151.4549,10053988,689584
haryana,,8085,2021,2,124382433,232312577411.7166,10686682,752220
haryana,,8086,2021,3,165765789,279337569622.5245,11374312,835658
haryana,,8087,2021,4,172725358,309594718962.4182,12047369,918155
haryana,,8088,2022,1,220541832,382682595071.275,12718254,1026068
haryana,,8089,2022,2,271267385,444207427107.7095,13329477,1106393
haryana,,8090,2022,3,325918974,499123302373.1108,13974131,1171324
haryana,,8091,2022,4,346421564,550189071738.4247,14567786,1231301
haryana,,8092,2023,1,382428292,593038018688.3391,15150515,1205359
haryana,,8093,2023,2,458437725,663139120171.8699,15685619,1231314
haryana,,8094,2023,3,502016327,679488272348.9021,16228788,1272783
haryana,,8095,2023,4,555795275,786452421039.6418,16779114,1309518
haryana,,8096,2024,1,606097991,811854562422.356,17427671,1349876
haryana,,8097,2024,2,740372930,909199344753.5066,18087186,1395864
