state,district,year,quarter,period_id,registered_users
andhra pradesh,krishna,2019,4,8079,264879
andhra pradesh,krishna,2020,1,8080,295947
andhra pradesh,krishna,2020,2,8081,328376
andhra pradesh,krishna,2020,3,8082,362805
andhra pradesh,krishna,2020,4,8083,397814
andhra pradesh,krishna,2021,1,8084,427708
andhra pradesh,krishna,2021,2,8085,457429
andhra pradesh,krishna,2021,3,8086,488273
andhra pradesh,krishna,2021,4,8087,518078
andhra pradesh,krishna,2022,1,8088,545247
andhra pradesh,krishna,2022,2,8089,573039
andhra pradesh,krishna,2022,3,8090,600020
andhra pradesh,krishna,2022,4,8091,625881
andhra pradesh,krishna,2023,1,8092,649438
andhra pradesh,krishna,2023,2,8093,672831
andhra pradesh,krishna,2023,3,8094,695749
andhra pradesh,krishna,2023,4,8095,716023
andhra pradesh,krishna,2024,1,8096,738769
andhra pradesh,krishna,2024,2,8097,763632
andhra pradesh,krishna,2024,3,8098,786152
andhra pradesh,krishna,2024,4,8099,812122
andhra pradesh,krishna,2025,1,8100,835078
andhra pradesh,krishna,2025,2,8101,859489
andhra pradesh,krishna,2025,3,8102,884149
andhra pradesh,krishna,2025,4,8103,906629
andhra pradesh,krishna,2026,1,8104,926773
andhra pradesh,krishna,2026,2,8105,944398
andhra pradesh,kurnool,2018,1,8072,123182
andhra pradesh,kurnool,2018,2,8073,164343
andhra pradesh,kurnool,2018,3,8074,202080
andhra pradesh,kurnool,2018,4,8075,256086
andhra pradesh,kurnool,2019,1,8076,310146
andhra pradesh,kurnool,2019,2,8077,353469
andhra pradesh,kurnool,2019,3,8078,396716
andhra pradesh,kurnool,2019,4,8079,445673
andhra pradesh,kurnool,2020,1,8080,493426
andhra pradesh,kurnool,2020,2,8081,545866
andhra pradesh,kurnool,2020,3,8082,596342
andhra pradesh,kurnool,2020,4,8083,647759
andhra pradesh,kurnool,2021,1,8084,692647
andhra pradesh,kurnool,2021,2,8085,735878
andhra pradesh,kurnool,2021,3,8086,779616
andhra pradesh,kurnool,2021,4,8087,822357
andhra pradesh,kurnool,2022,1,8088,861755
andhra pradesh,kurnool,2022,2,8089,900561
andhra pradesh,kurnool,2022,3,8090,938847
andhra pradesh,kurnool,2022,4,8091,976697
andhra pradesh,kurnool,2023,1,8092,1010284
andhra pradesh,kurnool,2023,2,8093,1042904
andhra pradesh,kurnool,2023,3,8094,1075639
andhra pradesh,kurnool,2023,4,8095,1104769
andhra pradesh,kurnool,2024,1,8096,1138665
andhra pradesh,kurnool,2024,2,8097,1174924
andhra pradesh,kurnool,2024,3,8098,1207132
andhra pradesh,kurnool,2024,4,8099,1244736
andhra pradesh,kurnool,2025,1,8100,1278957
