state,year,quarter,period_id,registered_merchants
lakshadweep,2021,1,8084,10
lakshadweep,2021,2,8085,12
lakshadweep,2021,3,8086,16
lakshadweep,2021,4,8087,19
lakshadweep,2022,1,8088,23
lakshadweep,2022,2,8089,27
lakshadweep,2022,3,8090,31
lakshadweep,2022,4,8091,34
lakshadweep,2023,1,8092,34
lakshadweep,2023,2,8093,34
lakshadweep,2023,3,8094,34
lakshadweep,2023,4,8095,36
lakshadweep,2024,1,8096,56
lakshadweep,2024,2,8097,121
lakshadweep,2024,3,8098,183
lakshadweep,2024,4,8099,226
lakshadweep,2025,1,8100,271
lakshadweep,2025,2,8101,305
lakshadweep,2025,3,8102,330
lakshadweep,2025,4,8103,369
lakshadweep,2026,1,8104,369
lakshadweep,2026,2,8105,374
madhya pradesh,2018,1,8072,8
madhya pradesh,2018,2,8073,23
madhya pradesh,2018,3,8074,76
madhya pradesh,2018,4,8075,498
madhya pradesh,2019,1,8076,66408
madhya pradesh,2019,2,8077,225653
madhya pradesh,2019,3,8078,358087
madhya pradesh,2019,4,8079,440884
madhya pradesh,2020,1,8080,513846
madhya pradesh,2020,2,8081,550154
madhya pradesh,2020,3,8082,654441
madhya pradesh,2020,4,8083,839834
madhya pradesh,2021,1,8084,1038097
madhya pradesh,2021,2,8085,1117867
madhya pradesh,2021,3,8086,1314899
madhya pradesh,2021,4,8087,1523277
madhya pradesh,2022,1,8088,1697225
madhya pradesh,2022,2,8089,1812068
madhya pradesh,2022,3,8090,1923099
madhya pradesh,2022,4,8091,2040575
madhya pradesh,2023,1,8092,2083024
madhya pradesh,2023,2,8093,2142311
madhya pradesh,2023,3,8094,2210798
madhya pradesh,2023,4,8095,2279592
madhya pradesh,2024,1,8096,2371698
madhya pradesh,2024,2,8097,2466722
madhya pradesh,2024,3,8098,2568230
madhya pradesh,2024,4,8099,2674535
madhya pradesh,2025,1,8100,2763468
madhya pradesh,2025,2,8101,2838187
madhya pradesh,2025,3,8102,2916083
madhya pradesh,2025,4,8103,3018653
madhya pradesh,2026,1,8104,3081980
madhya pradesh,2026,2,8105,3144386
maharashtra,2018,1,8072,1643
maharashtra,2018,2,8073,6629
maharashtra,2018,3,8074,38653
maharashtra,2018,4,8075,229210
maharashtra,2019,1,8076,698175
maharashtra,2019,2,8077,1019256
maharashtra,2019,3,8078,1309633
maharashtra,2019,4,8079,1597195
maharashtra,2020,1,8080,1861784
maharashtra,2020,2,8081,1925780
maharashtra,2020,3,8082,2160587
maharashtra,2020,4,8083,2544284
maharashtra,2021,1,8084,2884303
maharashtra,2021,2,8085,3023504
maharashtra,2021,3,8086,3290552
maharashtra,2021,4,8087,3607998
maharashtra,2022,1,8088,3932588
maharashtra,2022,2,8089,4180983
maharashtra,2022,3,8090,4352350
maharashtra,2022,4,8091,4508736
maharashtra,2023,1,8092,4522908
maharashtra,2023,2,8093,4608963
maharashtra,2023,3,8094,4734743
maharashtra,2023,4,8095,4866495
maharashtra,2024,1,8096,5039829
maharashtra,2024,2,8097,5168187
maharashtra,2024,3,8098,5298716
maharashtra,2024,4,8099,5428259
maharashtra,2025,1,8100,5550838
maharashtra,2025,2,8101,5653784
maharashtra,2025,3,8102,5758748
maharashtra,2025,4,8103,5890201
maharashtra,2026,1,8104,6005973
maharashtra,2026,2,8105,6113793
manipur,2018,4,8075,3
manipur,2019,1,8076,59
manipur,2019,2,8077,165
manipur,2019,3,8078,269
manipur,2019,4,8079,358
manipur,2020,1,8080,441
manipur,2020,2,8081,523
manipur,2020,3,8082,557
manipur,2020,4,8083,638
manipur,2021,1,8084,714
manipur,2021,2,8085,988
manipur,2021,3,8086,1154
manipur,2021,4,8087,1356
manipur,2022,1,8088,1592
manipur,2022,2,8089,1799
manipur,2022,3,8090,1996
manipur,2022,4,8091,2742
manipur,2023,1,8092,5900
manipur,2023,2,8093,6848
manipur,2023,3,8094,6862
manipur,2023,4,8095,7555
manipur,2024,1,8096,10474
manipur,2024,2,8097,12042
manipur,2024,3,8098,14222
manipur,2024,4,8099,16334
manipur,2025,1,8100,18944
manipur,2025,2,8101,21382
manipur,2025,3,8102,25620
manipur,2025,4,8103,29734
manipur,2026,1,8104,32712
manipur,2026,2,8105,34456
meghalaya,2018,4,8075,3
meghalaya,2019,1,8076,28
meghalaya,2019,2,8077,90
meghalaya,2019,3,8078,145
meghalaya,2019,4,8079,199
meghalaya,2020,1,8080,251
meghalaya,2020,2,8081,295
meghalaya,2020,3,8082,308
meghalaya,2020,4,8083,383
meghalaya,2021,1,8084,720
meghalaya,2021,2,8085,1115
meghalaya,2021,3,8086,1444
meghalaya,2021,4,8087,2117
meghalaya,2022,1,8088,3093
meghalaya,2022,2,8089,3790
meghalaya,2022,3,8090,4307
meghalaya,2022,4,8091,5034
meghalaya,2023,1,8092,6230
meghalaya,2023,2,8093,6637
meghalaya,2023,3,8094,7310
meghalaya,2023,4,8095,7883
meghalaya,2024,1,8096,8557
meghalaya,2024,2,8097,9226
meghalaya,2024,3,8098,10529
meghalaya,2024,4,8099,11765
meghalaya,2025,1,8100,12654
meghalaya,2025,2,8101,13470
meghalaya,2025,3,8102,14795
meghalaya,2025,4,8103,16581
meghalaya,2026,1,8104,17977
meghalaya,2026,2,8105,21772
mizoram,2019,1,8076,8
mizoram,2019,2,8077,21
mizoram,2019,3,8078,48
mizoram,2019,4,8079,63
mizoram,2020,1,8080,82
mizoram,2020,2,8081,98
mizoram,2020,3,8082,101
mizoram,2020,4,8083,116
mizoram,2021,1,8084,126
mizoram,2021,2,8085,142
mizoram,2021,3,8086,176
mizoram,2021,4,8087,211
mizoram,2022,1,8088,253
mizoram,2022,2,8089,289
mizoram,2022,3,8090,349
mizoram,2022,4,8091,988
mizoram,2023,1,8092,1784
mizoram,2023,2,8093,2544
mizoram,2023,3,8094,3510
mizoram,2023,4,8095,4699
mizoram,2024,1,8096,6017
mizoram,2024,2,8097,7999
mizoram,2024,3,8098,11489
mizoram,2024,4,8099,13962
mizoram,2025,1,8100,16138
mizoram,2025,2,8101,17514
mizoram,2025,3,8102,19563
mizoram,2025,4,8103,21331
mizoram,2026,1,8104,22918
mizoram,2026,2,8105,24387
nagaland,2018,3,8074,1
nagaland,2018,4,8075,15
nagaland,2019,1,8076,32
nagaland,2019,2,8077,75
nagaland,2019,3,8078,151
nagaland,2019,4,8079,201
nagaland,2020,1,8080,237
nagaland,2020,2,8081,283
nagaland,2020,3,8082,304
nagaland,2020,4,8083,348
nagaland,2021,1,8084,390
nagaland,2021,2,8085,434
nagaland,2021,3,8086,553
nagaland,2021,4,8087,924
nagaland,2022,1,8088,1826
nagaland,2022,2,8089,3123
