state,period_id,category_minus_map_count
maharashtra,8084,0
maharashtra,8085,0
maharashtra,8086,0
maharashtra,8087,0
maharashtra,8088,0
maharashtra,8089,0
maharashtra,8090,0
maharashtra,8091,0
maharashtra,8092,0
maharashtra,8093,0
maharashtra,8094,0
maharashtra,8095,0
maharashtra,8096,0
maharashtra,8097,0
maharashtra,8098,0
maharashtra,8099,0
maharashtra,8100,0
maharashtra,8101,0
maharashtra,8102,0
maharashtra,8103,0
maharashtra,8104,0
maharashtra,8105,0
manipur,8072,0
manipur,8073,0
manipur,8074,0
manipur,8075,0
manipur,8076,0
manipur,8077,0
manipur,8078,0
manipur,8079,0
manipur,8080,0
manipur,8081,0
manipur,8082,0
manipur,8083,0
manipur,8084,0
manipur,8085,0
manipur,8086,0
manipur,8087,0
manipur,8088,0
manipur,8089,0
manipur,8090,0
manipur,8091,0
manipur,8092,0
manipur,8093,0
manipur,8094,0
manipur,8095,0
manipur,8096,0
manipur,8097,0
manipur,8098,0
manipur,8099,0
manipur,8100,0
manipur,8101,0
manipur,8102,0
manipur,8103,0
manipur,8104,0
manipur,8105,0
meghalaya,8072,0
meghalaya,8073,0
meghalaya,8074,0
meghalaya,8075,0
meghalaya,8076,0
meghalaya,8077,0
meghalaya,8078,0
meghalaya,8079,0
meghalaya,8080,0
meghalaya,8081,0
meghalaya,8082,0
meghalaya,8083,0
meghalaya,8084,0
meghalaya,8085,0
meghalaya,8086,0
meghalaya,8087,0
meghalaya,8088,0
meghalaya,8089,0
meghalaya,8090,0
meghalaya,8091,0
meghalaya,8092,0
meghalaya,8093,0
meghalaya,8094,0
meghalaya,8095,0
meghalaya,8096,0
meghalaya,8097,0
meghalaya,8098,0
meghalaya,8099,0
meghalaya,8100,0
meghalaya,8101,0
meghalaya,8102,0
meghalaya,8103,0
meghalaya,8104,0
meghalaya,8105,0
mizoram,8072,0
mizoram,8073,0
mizoram,8074,0
mizoram,8075,0
mizoram,8076,0
mizoram,8077,0
mizoram,8078,0
mizoram,8079,0
mizoram,8080,0
mizoram,8081,0
mizoram,8082,0
mizoram,8083,0
mizoram,8084,0
mizoram,8085,0
mizoram,8086,0
mizoram,8087,0
mizoram,8088,0
mizoram,8089,0
mizoram,8090,0
mizoram,8091,0
mizoram,8092,0
mizoram,8093,0
mizoram,8094,0
mizoram,8095,0
mizoram,8096,0
mizoram,8097,0
mizoram,8098,0
mizoram,8099,0
mizoram,8100,0
mizoram,8101,0
mizoram,8102,0
mizoram,8103,0
mizoram,8104,0
mizoram,8105,0
nagaland,8072,0
nagaland,8073,0
nagaland,8074,0
nagaland,8075,0
nagaland,8076,0
nagaland,8077,0
nagaland,8078,0
nagaland,8079,0
nagaland,8080,0
nagaland,8081,0
nagaland,8082,0
nagaland,8083,0
nagaland,8084,0
nagaland,8085,0
nagaland,8086,0
nagaland,8087,0
nagaland,8088,0
nagaland,8089,0
nagaland,8090,0
nagaland,8091,0
nagaland,8092,0
nagaland,8093,0
nagaland,8094,0
nagaland,8095,0
nagaland,8096,0
nagaland,8097,0
nagaland,8098,0
nagaland,8099,0
nagaland,8100,0
nagaland,8101,0
nagaland,8102,0
nagaland,8103,0
nagaland,8104,0
nagaland,8105,0
odisha,8072,0
odisha,8073,0
odisha,8074,0
odisha,8075,0
odisha,8076,0
odisha,8077,0
odisha,8078,0
odisha,8079,0
odisha,8080,0
odisha,8081,0
odisha,8082,0
odisha,8083,0
odisha,8084,0
odisha,8085,0
odisha,8086,0
odisha,8087,0
odisha,8088,0
odisha,8089,0
odisha,8090,0
odisha,8091,0
odisha,8092,0
odisha,8093,0
odisha,8094,0
odisha,8095,0
odisha,8096,0
odisha,8097,0
odisha,8098,0
odisha,8099,0
odisha,8100,0
odisha,8101,0
odisha,8102,0
odisha,8103,0
odisha,8104,0
odisha,8105,0
puducherry,8072,0
puducherry,8073,0
puducherry,8074,0
puducherry,8075,0
puducherry,8076,0
puducherry,8077,0
puducherry,8078,0
puducherry,8079,0
puducherry,8080,0
puducherry,8081,0
puducherry,8082,0
puducherry,8083,0
puducherry,8084,0
puducherry,8085,0
puducherry,8086,0
puducherry,8087,0
puducherry,8088,0
puducherry,8089,0
puducherry,8090,0
puducherry,8091,0
puducherry,8092,0
puducherry,8093,0
puducherry,8094,0
puducherry,8095,0
puducherry,8096,0
puducherry,8097,0
puducherry,8098,0
puducherry,8099,0
puducherry,8100,0
puducherry,8101,0
puducherry,8102,0
puducherry,8103,0
puducherry,8104,0
puducherry,8105,0
punjab,8072,0
punjab,8073,0
punjab,8074,0
punjab,8075,0
punjab,8076,0
punjab,8077,0
punjab,8078,0
punjab,8079,0
punjab,8080,0
punjab,8081,0
punjab,8082,0
punjab,8083,0
punjab,8084,0
punjab,8085,0
punjab,8086,0
punjab,8087,0
punjab,8088,0
punjab,8089,0
punjab,8090,0
punjab,8091,0
punjab,8092,0
punjab,8093,0
punjab,8094,0
punjab,8095,0
punjab,8096,0
punjab,8097,0
punjab,8098,0
punjab,8099,0
punjab,8100,0
punjab,8101,0
punjab,8102,0
punjab,8103,0
punjab,8104,0
punjab,8105,0
rajasthan,8072,0
rajasthan,8073,0
rajasthan,8074,0
rajasthan,8075,0
rajasthan,8076,0
rajasthan,8077,0
rajasthan,8078,0
rajasthan,8079,0
rajasthan,8080,0
rajasthan,8081,0
rajasthan,8082,0
rajasthan,8083,0
rajasthan,8084,0
rajasthan,8085,0
rajasthan,8086,0
rajasthan,8087,0
rajasthan,8088,0
rajasthan,8089,0
rajasthan,8090,0
rajasthan,8091,0
rajasthan,8092,0
rajasthan,8093,0
rajasthan,8094,0
rajasthan,8095,0
rajasthan,8096,0
rajasthan,8097,0
rajasthan,8098,0
rajasthan,8099,0
rajasthan,8100,0
rajasthan,8101,0
rajasthan,8102,0
rajasthan,8103,0
rajasthan,8104,0
rajasthan,8105,0
sikkim,8072,0
sikkim,8073,0
sikkim,8074,0
sikkim,8075,0
sikkim,8076,0
sikkim,8077,0
sikkim,8078,0
sikkim,8079,0
sikkim,8080,0
sikkim,8081,0
sikkim,8082,0
sikkim,8083,0
sikkim,8084,0
sikkim,8085,0
sikkim,8086,0
sikkim,8087,0
sikkim,8088,0
sikkim,8089,0
sikkim,8090,0
sikkim,8091,0
sikkim,8092,0
sikkim,8093,0
sikkim,8094,0
sikkim,8095,0
sikkim,8096,0
sikkim,8097,0
sikkim,8098,0
sikkim,8099,0
sikkim,8100,0
sikkim,8101,0
sikkim,8102,0
sikkim,8103,0
sikkim,8104,0
sikkim,8105,0
tamil nadu,8072,0
tamil nadu,8073,0
tamil nadu,8074,0
tamil nadu,8075,0
tamil nadu,8076,0
tamil nadu,8077,0
tamil nadu,8078,0
tamil nadu,8079,0
tamil nadu,8080,0
tamil nadu,8081,0
tamil nadu,8082,0
tamil nadu,8083,0
tamil nadu,8084,0
tamil nadu,8085,0
tamil nadu,8086,0
tamil nadu,8087,0
tamil nadu,8088,0
tamil nadu,8089,0
tamil nadu,8090,0
tamil nadu,8091,0
tamil nadu,8092,0
tamil nadu,8093,0
tamil nadu,8094,0
tamil nadu,8095,0
tamil nadu,8096,0
tamil nadu,8097,0
tamil nadu,8098,0
tamil nadu,8099,0
tamil nadu,8100,0
tamil nadu,8101,0
tamil nadu,8102,0
tamil nadu,8103,0
tamil nadu,8104,0
tamil nadu,8105,0
telangana,8072,0
telangana,8073,0
telangana,8074,0
telangana,8075,0
telangana,8076,0
telangana,8077,0
telangana,8078,0
telangana,8079,0
telangana,8080,0
telangana,8081,0
telangana,8082,0
telangana,8083,0
telangana,8084,0
telangana,8085,0
telangana,8086,0
telangana,8087,0
telangana,8088,0
telangana,8089,0
telangana,8090,0
telangana,8091,0
telangana,8092,0
telangana,8093,0
telangana,8094,0
telangana,8095,0
telangana,8096,0
telangana,8097,0
telangana,8098,0
telangana,8099,0
telangana,8100,0
telangana,8101,0
telangana,8102,0
telangana,8103,0
telangana,8104,0
telangana,8105,0
tripura,8072,0
tripura,8073,0
tripura,8074,0
tripura,8075,0
tripura,8076,0
tripura,8077,0
tripura,8078,0
tripura,8079,0
tripura,8080,0
tripura,8081,0
tripura,8082,0
tripura,8083,0
tripura,8084,0
tripura,8085,0
tripura,8086,0
tripura,8087,0
tripura,8088,0
tripura,8089,0
tripura,8090,0
tripura,8091,0
tripura,8092,0
tripura,8093,0
tripura,8094,0
tripura,8095,0
tripura,8096,0
tripura,8097,0
tripura,8098,0
tripura,8099,0
tripura,8100,0
tripura,8101,0
tripura,8102,0
tripura,8103,0
tripura,8104,0
tripura,8105,0
uttar pradesh,8072,0
uttar pradesh,8073,0
uttar pradesh,8074,0
uttar pradesh,8075,0
uttar pradesh,8076,0
uttar pradesh,8077,0
uttar pradesh,8078,0
uttar pradesh,8079,0
uttar pradesh,8080,0
uttar pradesh,8081,0
uttar pradesh,8082,0
uttar pradesh,8083,0
uttar pradesh,8084,0
uttar pradesh,8085,0
uttar pradesh,8086,0
uttar pradesh,8087,0
uttar pradesh,8088,0
uttar pradesh,8089,0
uttar pradesh,8090,0
uttar pradesh,8091,0
uttar pradesh,8092,0
uttar pradesh,8093,0
uttar pradesh,8094,0
uttar pradesh,8095,0
uttar pradesh,8096,0
uttar pradesh,8097,0
uttar pradesh,8098,0
uttar pradesh,8099,0
uttar pradesh,8100,0
uttar pradesh,8101,0
uttar pradesh,8102,0
uttar pradesh,8103,0
uttar pradesh,8104,0
uttar pradesh,8105,0
uttarakhand,8072,0
uttarakhand,8073,0
uttarakhand,8074,0
uttarakhand,8075,0
uttarakhand,8076,0
uttarakhand,8077,0
uttarakhand,8078,0
uttarakhand,8079,0
uttarakhand,8080,0
uttarakhand,8081,0
uttarakhand,8082,0
uttarakhand,8083,0
uttarakhand,8084,0
uttarakhand,8085,0
uttarakhand,8086,0
uttarakhand,8087,0
uttarakhand,8088,0
uttarakhand,8089,0
uttarakhand,8090,0
uttarakhand,8091,0
uttarakhand,8092,0
uttarakhand,8093,0
uttarakhand,8094,0
uttarakhand,8095,0
uttarakhand,8096,0
uttarakhand,8097,0
uttarakhand,8098,0
uttarakhand,8099,0
uttarakhand,8100,0
uttarakhand,8101,0
uttarakhand,8102,0
uttarakhand,8103,0
uttarakhand,8104,0
uttarakhand,8105,0
west bengal,8072,0
west bengal,8073,0
west bengal,8074,0
west bengal,8075,0
west bengal,8076,0
west bengal,8077,0
west bengal,8078,0
west bengal,8079,0
west bengal,8080,0
west bengal,8081,0
west bengal,8082,0
west bengal,8083,0
west bengal,8084,0
west bengal,8085,0
west bengal,8086,0
west bengal,8087,0
west bengal,8088,0
west bengal,8089,0
west bengal,8090,0
west bengal,8091,0
west bengal,8092,0
west bengal,8093,0
west bengal,8094,0
west bengal,8095,0
west bengal,8096,0
west bengal,8097,0
west bengal,8098,0
west bengal,8099,0
west bengal,8100,0
west bengal,8101,0
west bengal,8102,0
west bengal,8103,0
west bengal,8104,0
west bengal,8105,0
