state,year,quarter,period_id,transaction_count,transaction_amount
goa,2022,2,8089,16022094,24878187518.779408
goa,2022,3,8090,17781281,25811794705.68304
goa,2022,4,8091,23220664,33502458362.18222
goa,2023,1,8092,24526280,35270734819.251785
goa,2023,2,8093,26864800,38615163972.77406
goa,2023,3,8094,27248674,37450380521.6337
goa,2023,4,8095,33643920,44395207299.52843
goa,2024,1,8096,35146111,45445685425.66287
goa,2024,2,8097,37182439,47519409391.04823
goa,2024,3,8098,36966358,45991002795.0858
goa,2024,4,8099,46318894,56637741193.07748
goa,2025,1,8100,49193973,58807211950.65007
goa,2025,2,8101,45771675,55369449580.35414
goa,2025,3,8102,46150727,54338864093.71546
goa,2025,4,8103,52951592,63813316867.88237
goa,2026,1,8104,55169116,67324007480.50716
goa,2026,2,8105,55208797,69089808304.2454
gujarat,2018,1,8072,6635512,8197590210.3636875
gujarat,2018,2,8073,8576111,13039616415.945614
gujarat,2018,3,8074,12242103,18865469253.16249
gujarat,2018,4,8075,16308079,26472137603.705414
gujarat,2019,1,8076,26455226,36847763352.85492
gujarat,2019,2,8077,27791578,46130544795.746445
gujarat,2019,3,8078,36868399,55866174464.90448
gujarat,2019,4,8079,41410517,73077071811.67056
gujarat,2020,1,8080,47012185,84177281289.14142
gujarat,2020,2,8081,44779825,70966369720.57262
gujarat,2020,3,8082,58773255,107948689525.47961
gujarat,2020,4,8083,77350802,145043226247.8315
gujarat,2021,1,8084,92994867,178693454967.36502
gujarat,2021,2,8085,108741359,203060508004.0047
gujarat,2021,3,8086,146565806,266874951666.12268
gujarat,2021,4,8087,155616570,290763968555.83673
gujarat,2022,1,8088,202167410,375175981366.9569
gujarat,2022,2,8089,242865983,425192027731.0801
gujarat,2022,3,8090,298170347,492460968385.96
gujarat,2022,4,8091,329074518,548039488289.37463
gujarat,2023,1,8092,369002002,602862655965.1804
gujarat,2023,2,8093,425451706,650588973801.5613
gujarat,2023,3,8094,485612014,713336692583.1819
gujarat,2023,4,8095,542379120,803395243183.7517
gujarat,2024,1,8096,614098314,881020106441.8213
gujarat,2024,2,8097,701921455,919028632147.8857
gujarat,2024,3,8098,763687586,970256325961.4185
gujarat,2024,4,8099,831355510,1082230469473.0231
gujarat,2025,1,8100,902261206,1110857728436.5906
gujarat,2025,2,8101,919508876,1074252324352.9222
gujarat,2025,3,8102,1045353791,1155632518250.8823
gujarat,2025,4,8103,1048194862,1234864382391.2158
gujarat,2026,1,8104,1127537297,1294388577019.7559
gujarat,2026,2,8105,1157902686,1297688887688.3652
haryana,2018,1,8072,5044397,7580699902.527901
haryana,2018,2,8073,6867153,12521529537.944519
haryana,2018,3,8074,9035319,17864845143.183334
haryana,2018,4,8075,14526062,27650255494.451317
haryana,2019,1,8076,25636840,38591994904.580345
haryana,2019,2,8077,28298601,51094727148.558624
haryana,2019,3,8078,36134187,62880149756.33475
haryana,2019,4,8079,44740993,82429204420.11588
haryana,2020,1,8080,51339201,94252119542.41226
haryana,2020,2,8081,46499694,89232924843.01035
haryana,2020,3,8082,67366856,128348575809.31851
haryana,2020,4,8083,91338622,176138927815.97955
haryana,2021,1,8084,105784676,194682830151.4549
