state,year,quarter,period_id,registered_users
gujarat,2021,4,8087,18430583
gujarat,2022,1,8088,19483483
gujarat,2022,2,8089,20492610
gujarat,2022,3,8090,21579615
gujarat,2022,4,8091,22608675
gujarat,2023,1,8092,23551635
gujarat,2023,2,8093,24442139
gujarat,2023,3,8094,25381367
gujarat,2023,4,8095,26346004
gujarat,2024,1,8096,27405423
gujarat,2024,2,8097,28470147
gujarat,2024,3,8098,29515495
gujarat,2024,4,8099,30455926
gujarat,2025,1,8100,31378561
gujarat,2025,2,8101,32256294
gujarat,2025,3,8102,33195778
gujarat,2025,4,8103,34132806
gujarat,2026,1,8104,34953549
gujarat,2026,2,8105,36083882
haryana,2018,1,8072,1988481
haryana,2018,2,8073,2621706
haryana,2018,3,8074,3194626
haryana,2018,4,8075,3994128
haryana,2019,1,8076,4759566
haryana,2019,2,8077,5414773
haryana,2019,3,8078,6054463
haryana,2019,4,8079,6642686
haryana,2020,1,8080,7305629
haryana,2020,2,8081,7982067
haryana,2020,3,8082,8695590
haryana,2020,4,8083,9406195
haryana,2021,1,8084,10053988
haryana,2021,2,8085,10686682
haryana,2021,3,8086,11374312
haryana,2021,4,8087,12047369
haryana,2022,1,8088,12718254
haryana,2022,2,8089,13329477
haryana,2022,3,8090,13974131
haryana,2022,4,8091,14567786
haryana,2023,1,8092,15150515
haryana,2023,2,8093,15685619
haryana,2023,3,8094,16228788
haryana,2023,4,8095,16779114
haryana,2024,1,8096,17427671
haryana,2024,2,8097,18087186
haryana,2024,3,8098,18729218
haryana,2024,4,8099,19313789
haryana,2025,1,8100,19907909
haryana,2025,2,8101,20473762
haryana,2025,3,8102,21056009
haryana,2025,4,8103,21615414
haryana,2026,1,8104,22159437
haryana,2026,2,8105,22839223
himachal pradesh,2018,1,8072,232961
himachal pradesh,2018,2,8073,321663
himachal pradesh,2018,3,8074,411528
himachal pradesh,2018,4,8075,536663
himachal pradesh,2019,1,8076,664582
himachal pradesh,2019,2,8077,782863
himachal pradesh,2019,3,8078,895546
himachal pradesh,2019,4,8079,1005852
himachal pradesh,2020,1,8080,1132310
himachal pradesh,2020,2,8081,1275538
himachal pradesh,2020,3,8082,1408247
himachal pradesh,2020,4,8083,1534598
himachal pradesh,2021,1,8084,1638990
himachal pradesh,2021,2,8085,1741024
himachal pradesh,2021,3,8086,1846491
himachal pradesh,2021,4,8087,1950122
himachal pradesh,2022,1,8088,2050007
himachal pradesh,2022,2,8089,2145736
himachal pradesh,2022,3,8090,2243636
himachal pradesh,2022,4,8091,2334678
himachal pradesh,2023,1,8092,2420834
himachal pradesh,2023,2,8093,2502650
himachal pradesh,2023,3,8094,2584543
himachal pradesh,2023,4,8095,2677484
himachal pradesh,2024,1,8096,2783894
himachal pradesh,2024,2,8097,2904980
himachal pradesh,2024,3,8098,3013084
himachal pradesh,2024,4,8099,3099424
himachal pradesh,2025,1,8100,3187150
himachal pradesh,2025,2,8101,3270465
himachal pradesh,2025,3,8102,3355425
himachal pradesh,2025,4,8103,3444065
himachal pradesh,2026,1,8104,3529338
himachal pradesh,2026,2,8105,3592809
jammu & kashmir,2018,1,8072,256997
jammu & kashmir,2018,2,8073,380192
jammu & kashmir,2018,3,8074,476825
jammu & kashmir,2018,4,8075,601895
jammu & kashmir,2019,1,8076,740329
jammu & kashmir,2019,2,8077,864680
jammu & kashmir,2019,3,8078,911309
jammu & kashmir,2019,4,8079,934260
jammu & kashmir,2020,1,8080,1010260
jammu & kashmir,2020,2,8081,1132400
jammu & kashmir,2020,3,8082,1249897
jammu & kashmir,2020,4,8083,1396218
jammu & kashmir,2021,1,8084,1549842
jammu & kashmir,2021,2,8085,1701193
jammu & kashmir,2021,3,8086,1855715
jammu & kashmir,2021,4,8087,2040417
