state,district,year,quarter,period_id,transaction_count,transaction_amount,registered_users,registered_merchants
andhra pradesh,anakapalli,2026,2,8105,97152961,137194912578.20892,1005920,60549
andhra pradesh,ananthapuramu,2018,1,8072,519650,629659116.465471,137680,
andhra pradesh,ananthapuramu,2018,2,8073,735610,1328289806.8045876,186029,1
andhra pradesh,ananthapuramu,2018,3,8074,1443186,2066916673.2078447,228441,55
andhra pradesh,ananthapuramu,2018,4,8075,1791542,3054048321.05402,286898,232
andhra pradesh,ananthapuramu,2019,1,8076,3228901,4948648251.60415,343088,2732
andhra pradesh,ananthapuramu,2019,2,8077,3373619,7332650455.790795,388159,10040
andhra pradesh,ananthapuramu,2019,3,8078,4298762,9087001908.963615,433972,16876
andhra pradesh,ananthapuramu,2019,4,8079,5951769,13027173867.713295,487094,21234
andhra pradesh,ananthapuramu,2020,1,8080,7294702,16675096270.811436,539384,24712
andhra pradesh,ananthapuramu,2020,2,8081,8057810,19418440510.374275,593971,26244
andhra pradesh,ananthapuramu,2020,3,8082,11679197,30123420970.389664,652167,31712
andhra pradesh,ananthapuramu,2020,4,8083,15461127,38719899802.00595,708428,42105
andhra pradesh,ananthapuramu,2021,1,8084,16595471,40743924561.16626,755698,48028
andhra pradesh,ananthapuramu,2021,2,8085,21057300,52614323762.10712,802037,52586
andhra pradesh,ananthapuramu,2021,3,8086,25568844,59570939793.666016,849416,57327
andhra pradesh,ananthapuramu,2021,4,8087,26364698,58941460393.585205,895561,62018
andhra pradesh,ananthapuramu,2022,1,8088,33168908,73331469216.90088,937311,66133
andhra pradesh,ananthapuramu,2022,2,8089,37745097,82760963881.1185,978578,69991
andhra pradesh,ananthapuramu,2022,3,8090,43285476,91301145442.92174,1019639,73399
andhra pradesh,ananthapuramu,2022,4,8091,46114169,94150942959.23898,1059705,75932
andhra pradesh,ananthapuramu,2023,1,8092,50713530,102190116511.60172,1094625,75750
andhra pradesh,ananthapuramu,2023,2,8093,56759923,113545877426.63348,1128637,76919
andhra pradesh,ananthapuramu,2023,3,8094,65327732,121649778854.6745,1162685,78633
andhra pradesh,ananthapuramu,2023,4,8095,71005920,128620561694.48537,1193922,80641
andhra pradesh,ananthapuramu,2024,1,8096,77881728,134097495258.8226,1228091,83231
andhra pradesh,ananthapuramu,2024,2,8097,84870983,141657878528.98196,1264498,86094
andhra pradesh,ananthapuramu,2024,3,8098,91661636,143135747587.50778,1298910,89565
andhra pradesh,ananthapuramu,2024,4,8099,100555237,152191976239.85037,1338623,93040
andhra pradesh,ananthapuramu,2025,1,8100,108493610,164325986359.831,1374095,95816
andhra pradesh,ananthapuramu,2025,2,8101,111821009,168849861506.38904,1411907,98547
andhra pradesh,ananthapuramu,2025,3,8102,119699526,170192575255.2671,1451094,101081
andhra pradesh,ananthapuramu,2025,4,8103,127054190,178495794357.15128,1487620,104215
andhra pradesh,ananthapuramu,2026,1,8104,134752991,192433842365.95197,1516713,106385
andhra pradesh,ananthapuramu,2026,2,8105,140056538,199801031290.9932,1555974,108540
andhra pradesh,annamayya,2018,1,8072,272082,352585881.8967415,80883,1
andhra pradesh,annamayya,2018,2,8073,390971,754575036.0313628,109306,1
andhra pradesh,annamayya,2018,3,8074,733897,1137182874.4290473,137093,38
andhra pradesh,annamayya,2018,4,8075,983317,1708028376.9476275,177218,476
