state,year,quarter,period_id,category_raw,transactions
arunachal pradesh,2026,2,8105,P2P,13494356
assam,2018,1,8072,Retail,917663
assam,2018,1,8072,P2P,367018
assam,2018,1,8072,Utility,11201
assam,2018,2,8073,P2P,602513
assam,2018,2,8073,Retail,1336377
assam,2018,2,8073,Utility,58011
assam,2018,3,8074,P2P,907160
assam,2018,3,8074,Retail,1729859
assam,2018,3,8074,Utility,89515
assam,2018,4,8075,P2P,1425542
assam,2018,4,8075,Retail,2764241
assam,2018,4,8075,Utility,106444
assam,2019,1,8076,Retail,2757939
assam,2019,1,8076,P2P,2043007
assam,2019,1,8076,Utility,146609
assam,2019,2,8077,P2P,2242546
assam,2019,2,8077,Retail,3193461
assam,2019,2,8077,Utility,149400
assam,2019,3,8078,P2P,2646141
assam,2019,3,8078,Retail,3051698
assam,2019,3,8078,Utility,356634
assam,2019,4,8079,P2P,3109608
assam,2019,4,8079,Retail,2890501
assam,2019,4,8079,Utility,891749
assam,2020,1,8080,P2P,3723043
assam,2020,1,8080,Utility,1545036
assam,2020,1,8080,Retail,3406812
assam,2020,2,8081,P2P,3693429
assam,2020,2,8081,Retail,4571702
assam,2020,2,8081,Utility,2761829
assam,2020,3,8082,P2P,4865545
assam,2020,3,8082,Retail,4773287
assam,2020,3,8082,Utility,2322970
assam,2020,4,8083,P2P,6673162
assam,2020,4,8083,Retail,5154466
assam,2020,4,8083,Utility,2956856
assam,2021,1,8084,Retail,3579513
assam,2021,1,8084,P2P,8037741
assam,2021,1,8084,Utility,5700478
assam,2021,2,8085,Retail,4119253
assam,2021,2,8085,Utility,8502474
assam,2021,2,8085,P2P,9999466
assam,2021,3,8086,P2P,12915370
assam,2021,3,8086,Retail,6486596
assam,2021,3,8086,Utility,9291264
assam,2021,4,8087,P2P,15760519
assam,2021,4,8087,Retail,10034417
assam,2021,4,8087,Utility,9233797
assam,2022,1,8088,P2P,22622208
assam,2022,1,8088,Utility,10408631
assam,2022,1,8088,Retail,16994856
assam,2022,2,8089,P2P,28055767
assam,2022,2,8089,Retail,24578300
assam,2022,2,8089,Utility,12166210
assam,2022,3,8090,P2P,35183163
assam,2022,3,8090,Retail,34972826
assam,2022,3,8090,Utility,14185524
assam,2022,4,8091,P2P,40692233
assam,2022,4,8091,Retail,41152378
assam,2022,4,8091,Utility,15240015
assam,2023,1,8092,Retail,49721049
assam,2023,1,8092,P2P,48450507
assam,2023,1,8092,Utility,17044791
assam,2023,2,8093,Retail,62198937
assam,2023,2,8093,Utility,19532756
assam,2023,2,8093,P2P,57867509
assam,2023,3,8094,P2P,66738687
assam,2023,3,8094,Retail,80789947
assam,2023,3,8094,Utility,20749479
assam,2023,4,8095,P2P,79931097
assam,2023,4,8095,Retail,93896583
assam,2023,4,8095,Utility,20524429
assam,2024,1,8096,Retail,108690485
assam,2024,1,8096,P2P,91156112
assam,2024,1,8096,Utility,22782397
assam,2024,2,8097,Retail,143706811
assam,2024,2,8097,Utility,25314244
assam,2024,2,8097,P2P,105567953
assam,2024,3,8098,P2P,112086581
assam,2024,3,8098,Retail,159283968
assam,2024,3,8098,Utility,26379142
assam,2024,4,8099,P2P,129253234
assam,2024,4,8099,Retail,178000773
assam,2024,4,8099,Utility,25832036
assam,2025,1,8100,P2P,148257710
assam,2025,1,8100,Utility,31062214
assam,2025,1,8100,Retail,202129241
assam,2025,2,8101,P2P,152460784
assam,2025,2,8101,Retail,228314633
assam,2025,2,8101,Utility,31747436
assam,2025,3,8102,P2P,163168524
assam,2025,3,8102,Retail,257785154
assam,2025,3,8102,Utility,33608696
assam,2025,4,8103,P2P,173912850
assam,2025,4,8103,Retail,262799498
assam,2025,4,8103,Utility,32082813
assam,2026,1,8104,P2P,187964652
assam,2026,1,8104,Utility,35281902
assam,2026,1,8104,Retail,280234793
assam,2026,2,8105,Retail,314710936
assam,2026,2,8105,Utility,37936564
assam,2026,2,8105,P2P,196477566
bihar,2018,1,8072,P2P,2402724
bihar,2018,1,8072,Retail,4816218
bihar,2018,1,8072,Utility,48864
bihar,2018,2,8073,P2P,3988478
bihar,2018,2,8073,Retail,6197442
bihar,2018,2,8073,Utility,248659
bihar,2018,3,8074,P2P,9964049
