state,district,year,quarter,period_id,registered_merchants
andhra pradesh,dr br ambedkar konaseema,2026,1,8104,43914
andhra pradesh,dr br ambedkar konaseema,2026,2,8105,45653
andhra pradesh,east godavari,2018,3,8074,16
andhra pradesh,east godavari,2018,4,8075,623
andhra pradesh,east godavari,2019,1,8076,4873
andhra pradesh,east godavari,2019,2,8077,8599
andhra pradesh,east godavari,2019,3,8078,11399
andhra pradesh,east godavari,2019,4,8079,13698
andhra pradesh,east godavari,2020,1,8080,15732
andhra pradesh,east godavari,2020,2,8081,16915
andhra pradesh,east godavari,2020,3,8082,19232
andhra pradesh,east godavari,2020,4,8083,24552
andhra pradesh,east godavari,2021,1,8084,28692
andhra pradesh,east godavari,2021,2,8085,30692
andhra pradesh,east godavari,2021,3,8086,33390
andhra pradesh,east godavari,2021,4,8087,36771
andhra pradesh,east godavari,2022,1,8088,40506
andhra pradesh,east godavari,2022,2,8089,43073
andhra pradesh,east godavari,2022,3,8090,45697
andhra pradesh,east godavari,2022,4,8091,47844
andhra pradesh,east godavari,2023,1,8092,48766
andhra pradesh,east godavari,2023,2,8093,49848
andhra pradesh,east godavari,2023,3,8094,51872
andhra pradesh,east godavari,2023,4,8095,54818
andhra pradesh,east godavari,2024,1,8096,57834
andhra pradesh,east godavari,2024,2,8097,60090
andhra pradesh,east godavari,2024,3,8098,62056
andhra pradesh,east godavari,2024,4,8099,64029
andhra pradesh,east godavari,2025,1,8100,65887
andhra pradesh,east godavari,2025,2,8101,67607
andhra pradesh,east godavari,2025,3,8102,69274
andhra pradesh,east godavari,2025,4,8103,71280
andhra pradesh,east godavari,2026,1,8104,73104
andhra pradesh,east godavari,2026,2,8105,74989
andhra pradesh,eluru,2018,3,8074,20
andhra pradesh,eluru,2018,4,8075,110
andhra pradesh,eluru,2019,1,8076,956
andhra pradesh,eluru,2019,2,8077,4088
andhra pradesh,eluru,2019,3,8078,6344
andhra pradesh,eluru,2019,4,8079,9057
andhra pradesh,eluru,2020,1,8080,11199
andhra pradesh,eluru,2020,2,8081,12335
andhra pradesh,eluru,2020,3,8082,15345
andhra pradesh,eluru,2020,4,8083,20119
andhra pradesh,eluru,2021,1,8084,24636
andhra pradesh,eluru,2021,2,8085,26697
andhra pradesh,eluru,2021,3,8086,30097
andhra pradesh,eluru,2021,4,8087,33553
andhra pradesh,eluru,2022,1,8088,36640
andhra pradesh,eluru,2022,2,8089,39411
andhra pradesh,eluru,2022,3,8090,42113
andhra pradesh,eluru,2022,4,8091,43641
andhra pradesh,eluru,2023,1,8092,43915
andhra pradesh,eluru,2023,2,8093,44628
