state,district,min,max,count,internal_missing_periods
mizoram,lawngtlai,8072,8105,34,0
mizoram,lunglei,8072,8105,34,0
mizoram,mamit,8072,8105,34,0
mizoram,saitual,8072,8105,34,0
mizoram,serchhip,8072,8105,34,0
mizoram,siaha,8072,8105,34,0
nagaland,chumoukedima,8072,8105,34,0
nagaland,dimapur,8072,8105,34,0
nagaland,kiphire,8072,8105,34,0
nagaland,kohima,8072,8105,34,0
nagaland,longleng,8072,8105,34,0
nagaland,meluri,8072,8105,34,0
nagaland,mokokchung,8072,8105,34,0
nagaland,mon,8072,8105,34,0
nagaland,niuland,8072,8105,34,0
nagaland,noklak,8072,8105,34,0
nagaland,peren,8072,8105,34,0
nagaland,phek,8072,8105,34,0
nagaland,shamator,8072,8105,34,0
nagaland,tseminyu,8072,8105,34,0
nagaland,tuensang,8072,8105,34,0
nagaland,wokha,8072,8105,34,0
nagaland,zunheboto,8072,8105,34,0
odisha,angul,8072,8105,34,0
odisha,balangir,8072,8105,34,0
odisha,balasore,8072,8105,34,0
odisha,bargarh,8072,8105,34,0
odisha,bhadrak,8072,8105,34,0
odisha,boudh,8072,8105,34,0
odisha,cuttack,8072,8105,34,0
odisha,deogarh,8072,8105,34,0
odisha,dhenkanal,8072,8105,34,0
odisha,gajapati,8072,8105,34,0
odisha,ganjam,8072,8105,34,0
odisha,jagatsinghpur,8072,8105,34,0
odisha,jajpur,8072,8105,34,0
odisha,jharsuguda,8072,8105,34,0
odisha,kalahandi,8072,8105,34,0
odisha,kandhamal,8072,8105,34,0
odisha,kendrapara,8072,8105,34,0
odisha,kendujhar,8072,8105,34,0
odisha,khordha,8072,8105,34,0
odisha,koraput,8072,8105,34,0
odisha,malkangiri,8072,8105,34,0
odisha,mayurbhanj,8072,8105,34,0
odisha,nabarangpur,8072,8105,34,0
odisha,nayagarh,8072,8105,34,0
odisha,nuapada,8072,8105,34,0
odisha,puri,8072,8105,34,0
odisha,rayagada,8072,8105,34,0
odisha,sambalpur,8072,8105,34,0
odisha,subarnapur,8072,8105,34,0
odisha,sundargarh,8072,8105,34,0
puducherry,karaikal,8072,8105,34,0
puducherry,mahe,8072,8105,34,0
puducherry,puducherry,8072,8105,34,0
puducherry,yanam,8072,8105,34,0
punjab,amritsar,8072,8105,34,0
punjab,barnala,8072,8105,34,0
punjab,bathinda,8072,8105,34,0
punjab,faridkot,8072,8105,34,0
punjab,fatehgarh sahib,8072,8105,34,0
punjab,fazilka,8072,8105,34,0
punjab,ferozepur,8072,8105,34,0
punjab,gurdaspur,8072,8105,34,0
punjab,hoshiarpur,8072,8105,34,0
punjab,jalandhar,8072,8105,34,0
punjab,kapurthala,8072,8105,34,0
punjab,ludhiana,8072,8105,34,0
punjab,malerkotla,8072,8105,34,0
punjab,mansa,8072,8105,34,0
