state,period_id,transactions,value_inr,registered_users,registered_merchants,year,quarter,period_label,quarter_start,retail_transactions,prior_period,prior_transactions,prior_users,prior_merchants,prior_retail,average_transaction_value,users_per_merchant,transactions_per_merchant,value_per_merchant,merchants_per_1000_users,transaction_qoq,user_qoq,merchant_qoq,retail_qoq,transaction_yoy,user_yoy,merchant_yoy,state_contribution
bihar,8074,16507213,23175783209.3531,3846555,79.0,2018,3,2018-Q3,2018-07-01,6195903,8073.0,10434579.0,3075993.0,4.0,6197442.0,1403.9791701575002,48690.56962025316,208952.06329113923,293364344.42219114,0.020537857901420882,0.5819721140642089,0.25050837241827284,18.75,-0.00024832826188614376,,,,0.04756766720963285
chandigarh,8074,417919,971597704.088122,141119,6.0,2018,3,2018-Q3,2018-07-01,197262,8073.0,319560.0,113150.0,2.0,171635.0,2324.8469298790483,23519.833333333332,69653.16666666667,161932950.68135366,0.04251730808750062,0.3077950932532232,0.24718515245249661,2.0,0.14931103795845835,,,,0.0012042875991593825
chhattisgarh,8074,4512546,7219788715.082321,1229445,27.0,2018,3,2018-Q3,2018-07-01,2435063,8073.0,3380470.0,967619.0,17.0,2124217.0,1599.9368682518298,45535.0,167131.33333333334,267399582.04008597,0.021961128802020422,0.3348871606610915,0.2705879070171213,0.588235294117647,0.14633439050718455,,,,0.013003484379595748
dadra & nagar haveli & daman & diu,8074,327117,494728286.0806344,79851,5.0,2018,3,2018-Q3,2018-07-01,190778,8073.0,233330.0,62632.0,1.0,150355.0,1512.3894083176185,15970.2,65423.4,98945657.21612689,0.06261662346119648,0.40195002785754075,0.2749233618597522,4.0,0.26885038741644784,,,,0.0009426299033406468
delhi,8074,12574966,19957898704.19008,3271387,20830.0,2018,3,2018-Q3,2018-07-01,7857195,8073.0,6889986.0,2581867.0,1582.0,3933398.0,1587.1135320914648,157.05170427268362,603.6949591934709,958132.4389913623,6.367329820654053,0.825107627214337,0.2670625558946298,12.166877370417193,0.9975591079265307,,,,0.03623638938083903
goa,8074,376513,784750606.0741248,160129,4.0,2018,3,2018-Q3,2018-07-01,206471,8073.0,257510.0,128359.0,1.0,155786.0,2084.258992582261,40032.25,94128.25,196187651.5185312,0.024979859987884767,0.4621296260339405,0.2475089397704875,3.0,0.3253501598346449,,,,0.0010849708599568258
gujarat,8074,12242103,18865469253.16249,4601012,274.0,2018,3,2018-Q3,2018-07-01,6110333,8073.0,8576111.0,3729318.0,112.0,5503458.0,1541.0317372074464,16792.014598540147,44679.20802919708,68852077.56628646,0.059552115925800675,0.4274655493614763,0.23374086092953195,1.4464285714285716,0.11027157834219858,,,,0.03527720163603922
haryana,8074,9035319,17864845143.183334,3194626,3949.0,2018,3,2018-Q3,2018-07-01,4806047,8073.0,6867153.0,2621706.0,168.0,4054740.0,1977.2235095610165,808.9708787034692,2288.0017726006586,4523890.894703301,1.2361384399926627,0.31572996844543866,0.2185294613507387,22.50595238095238,0.18529104208901193,,,,0.02603643918115509
himachal pradesh,8074,983069,1754538049.2417238,411528,1.0,2018,3,2018-Q3,2018-07-01,591381,8073.0,752625.0,321663.0,2.0,495410.0,1784.7557488250811,411528.0,983069.0,1754538049.2417238,0.0024299683132131956,0.3061870121242318,0.27937624159446384,-0.5,0.19372035283906253,,,,0.0028328403490102514
jammu & kashmir,8074,1277209,2141341083.7828207,476825,8.0,2018,3,2018-Q3,2018-07-01,484480,8073.0,1086777.0,380192.0,2.0,571507.0,1676.5784486194668,59603.125,159651.125,267667635.4728526,0.01677764378965029,0.17522638038898508,0.25416894621664854,3.0,-0.15227635007095275,,,,0.003680442765786566
jharkhand,8074,9200318,9973432389.379925,1545612,16.0,2018,3,2018-Q3,2018-07-01,2349945,8073.0,3756004.0,1238359.0,,2116672.0,1084.0312681996345,96600.75,575019.875,623339524.3362453,0.010351886501916393,1.4494963264149878,0.24811302699782534,,0.11020743884739814,,,,0.026511905119707056
karnataka,8074,23401492,43888971406.79382,6536115,65096.0,2018,3,2018-Q3,2018-07-01,11393430,8073.0,16008698.0,5226252.0,18604.0,8777546.0,1875.4774869394578,100.40732149440827,359.49201179795995,674219.1748616478,9.959433088310105,0.46179857974708494,0.2506314276464281,2.4990324661363146,0.2980199705020059,,,,0.06743442298011695
kerala,8074,3089723,5223931290.203843,1311720,97.0,2018,3,2018-Q3,2018-07-01,1718134,8073.0,2318135.0,1053063.0,8.0,1454296.0,1690.7442156477598,13522.886597938144,31852.81443298969,53854961.75467879,0.07394870856585246,0.3328486045894652,0.24562348121622346,11.125,0.18141973848515014,,,,0.008903436057555471
ladakh,8074,30349,97489777.85152242,27274,,2018,3,2018-Q3,2018-07-01,18155,8073.0,18412.0,21011.0,,11482.0,3212.2896257379953,,,,,0.6483271779274387,0.2980819570701061,,0.5811705277826162,,,,8.745456499199153e-05
lakshadweep,8074,2676,7647500.449565986,1491,,2018,3,2018-Q3,2018-07-01,1481,8073.0,2875.0,1172.0,,1202.0,2857.810332423762,,,,,-0.06921739130434779,0.2721843003412969,,0.23211314475873546,,,,7.711239774574757e-06
madhya pradesh,8074,18062698,25331787718.834587,4233736,76.0,2018,3,2018-Q3,2018-07-01,7152252,8073.0,11249274.0,3390239.0,23.0,6493926.0,1402.4365418075743,55707.05263157895,237667.07894736843,333312996.3004551,0.01795104843570785,0.6056767752301171,0.24880163315919623,2.3043478260869565,0.101375654727202,,,,0.05204999822635722
maharashtra,8074,30786153,50334957437.10378,10390459,38653.0,2018,3,2018-Q3,2018-07-01,16189479,8073.0,21707384.0,8236836.0,6629.0,13039678.0,1634.9869188626387,268.8137790080977,796.4751248286032,1302226.4102942536,3.720047401178331,0.4182341363657638,0.26146241105201073,4.830894554231407,0.2415551212230853,,,,0.08871427784743796
manipur,8074,219782,436231935.4022121,71019,,2018,3,2018-Q3,2018-07-01,113751,8073.0,184930.0,54326.0,,113472.0,1984.839228882311,,,,,0.1884604985670253,0.30727460147995433,,0.0024587563451776706,,,,0.0006333302317397568
meghalaya,8074,123884,233167830.81494468,42882,,2018,3,2018-Q3,2018-07-01,81832,8073.0,79675.0,31651.0,,56085.0,1882.1464500253842,,,,,0.5548666457483526,0.35483870967741926,,0.4590710528661852,,,,0.00035698775345045563
mizoram,8074,45614,129714622.12975363,16728,,2018,3,2018-Q3,2018-07-01,24604,8073.0,31560.0,12467.0,,18364.0,2843.7458264952347,,,,,0.44531051964512036,0.341782305285955,,0.33979525157917667,,,,0.00013144263493178362
nagaland,8074,117956,289452939.43801266,33223,1.0,2018,3,2018-Q3,2018-07-01,77504,8073.0,82859.0,23866.0,,58079.0,2453.9060279935966,33223.0,117956.0,289452939.43801266,0.030099629774553775,0.42357498883645706,0.3920640241347524,,0.33445823791731955,,,,0.00033990545547449183
odisha,8074,33773146,26439174825.05436,2740899,41.0,2018,3,2018-Q3,2018-07-01,6109834,8073.0,9547287.0,2160851.0,7.0,4832463.0,782.8460761415107,66851.19512195123,823735.268292683,644857922.5623014,0.014958595701629282,2.537460013509597,0.2684349823287213,4.857142857142857,0.26433125302770044,,,,0.09732168413591942
