State,Period ID,Retail Transactions
Madhya Pradesh,8098,926585300
Madhya Pradesh,8099,1024836894
Madhya Pradesh,8100,1040983000
Madhya Pradesh,8101,1143273346
Madhya Pradesh,8102,1244302556
Madhya Pradesh,8103,1317761396
Madhya Pradesh,8104,1369000689
Madhya Pradesh,8105,1456576342
Maharashtra,8072,10256681
Maharashtra,8073,13039678
Maharashtra,8074,16189479
Maharashtra,8075,23240057
Maharashtra,8076,33977457
Maharashtra,8077,54030628
Maharashtra,8078,84053886
Maharashtra,8079,103887387
Maharashtra,8080,125734064
Maharashtra,8081,80390030
Maharashtra,8082,127581626
Maharashtra,8083,211773187
Maharashtra,8084,241600887
Maharashtra,8085,229413959
Maharashtra,8086,362427389
Maharashtra,8087,441281724
Maharashtra,8088,597190812
Maharashtra,8089,739763476
Maharashtra,8090,868371330
Maharashtra,8091,998769959
Maharashtra,8092,1121600766
Maharashtra,8093,1273343788
Maharashtra,8094,1427891144
Maharashtra,8095,1627859322
Maharashtra,8096,1798938438
Maharashtra,8097,1975738521
Maharashtra,8098,2100939879
Maharashtra,8099,2354931274
Maharashtra,8100,2530485146
Maharashtra,8101,2660636662
Maharashtra,8102,2829226611
Maharashtra,8103,3052486746
Maharashtra,8104,3200987799
Maharashtra,8105,3413003601
Manipur,8072,74310
Manipur,8073,113472
Manipur,8074,113751
Manipur,8075,164993
Manipur,8076,170783
Manipur,8077,200970
Manipur,8078,204807
Manipur,8079,209319
Manipur,8080,244184
Manipur,8081,349701
Manipur,8082,416199
Manipur,8083,420543
Manipur,8084,220308
Manipur,8085,250250
Manipur,8086,336219
Manipur,8087,368527
Manipur,8088,509928
Manipur,8089,645557
Manipur,8090,837582
Manipur,8091,928790
Manipur,8092,1073657
Manipur,8093,585926
Manipur,8094,250465
Manipur,8095,688632
Manipur,8096,1380355
Manipur,8097,2012748
Manipur,8098,2087985
Manipur,8099,2123143
Manipur,8100,2888122
Manipur,8101,3542824
Manipur,8102,4269941
Manipur,8103,4174837
Manipur,8104,4367144
Manipur,8105,4552091
Meghalaya,8072,42995
Meghalaya,8073,56085
Meghalaya,8074,81832
Meghalaya,8075,118819
Meghalaya,8076,135938
