state,year,quarter,period_id,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy
uttar pradesh,2020,4,8083,2020-Q4,191598396,380442192615.84,28545839,1586664.0,1985.6230561337268,5558.302209999853,17.991105237151658,6.711955322104913,13327.413239310992,120.75549454704966,8082.0,141565257.0,273741446015.28,26045233.0,1242714.0,0.3534280942957635,0.38978659663617066,0.09601012208260906,0.27677325595430635,0.9674284967501579
uttar pradesh,2021,1,8084,2021-Q1,227417493,433880828404.02,30976739,2059413.0,1907.8603966671114,6648.256293214079,15.04153804992005,7.341556934059457,14006.665724368857,110.4283079693097,8083.0,191598396.0,380442192615.84,28545839.0,1586664.0,0.18694883541718177,0.1404645352839211,0.08515777027958427,0.29795155117907757,1.1035187858128555
uttar pradesh,2021,2,8085,2021-Q2,273728175,536955159535.71,33211904,2328409.0,1961.6364283132712,7010.766380632679,14.263775822890222,8.241869391167697,16167.551235114675,117.56017735715676,8084.0,227417493.0,433880828404.02,30976739.0,2059413.0,0.2036372901182233,0.2375636911887462,0.07215623955768868,0.13061780225724506,1.4815221553321747
uttar pradesh,2021,3,8086,2021-Q3,350675338,627645749576.75,35903262,2857565.0,1789.8200459615725,7959.067897507474,12.56428532684296,9.76722778002734,17481.580074165686,122.71823668053045,8085.0,273728175.0,536955159535.71,33211904.0,2328409.0,0.2811079385598505,0.16889788361370361,0.08103594422048199,0.22726076045918053,1.4771285372653264
uttar pradesh,2021,4,8087,2021-Q4,400725104,752059552950.35,38739893,3413744.0,1876.7467908632696,8811.960322141313,11.348212695503822,10.343990986242527,19413.05188814925,117.38580983225455,8086.0,350675338.0,627645749576.75,35903262.0,2857565.0,0.14272394028461743,0.19822296806358985,0.0790076121774117,0.19463389284233257,1.0914846489633452
uttar pradesh,2022,1,8088,2022-Q1,521369445,955324276610.65,41701425,4069314.0,1832.3365240758403,9758.213298466419,10.247777635247612,12.50243714693203,22908.6722242861,128.12219578041902,8087.0,400725104.0,752059552950.35,38739893.0,3413744.0,0.3010650937406707,0.27027743064081444,0.07644657149672551,0.1920384188152362,1.2925652645374996
uttar pradesh,2022,2,8089,2022-Q2,655438792,1150071386489.69,44364283,4486248.0,1754.6587118842517,10112.296867279474,9.88895018732803,14.774019722126468,25923.362414978958,146.09954509871054,8088.0,521369445.0,955324276610.65,41701425.0,4069314.0,0.25714845448988677,0.20385445512802636,0.06385532388881199,0.10245805558381593,1.3944878600823607
uttar pradesh,2022,3,8090,2022-Q3,775761504,1224796014974.34,47337748,4865043.0,1578.830618249317,10277.301319868448,9.730180802101852,16.38779909851225,25873.558982449696,159.45624817704592,8089.0,655438792.0,1150071386489.69,44364283.0,4486248.0,0.18357581740447237,0.06497390454407248,0.06702384889213686,0.08443469910713808,1.212192931571367
uttar pradesh,2022,4,8091,2022-Q4,890097755,1446927383901.77,50213564,5262234.0,1625.582556268519,10479.706240329804,9.542252206952408,17.726241359804693,28815.468742704063,169.1482657365674,8090.0,775761504.0,1224796014974.34,47337748.0,4865043.0,0.14738582722970484,0.1813619298329312,0.06075100995509963,0.08164182721509339,1.2212178526254744
uttar pradesh,2023,1,8092,2023-Q1,1011060339,1635880038405.16,53046420,5259389.0,1617.9845804486254,9914.691698327615,10.086042314040661,19.059916559873407,30838.651098512582,192.2391249249675,8091.0,890097755.0,1446927383901.77,50213564.0,5262234.0,0.13589808908123802,0.13058889935019558,0.05641615082331142,-0.000540644904806542,0.9392397247214976
uttar pradesh,2023,2,8093,2023-Q2,1220844008,1835097474392.21,55590099,5399393.0,1503.1383717879623,9712.86811343869,10.295620081738818,21.961536855690795,33011.228751224386,226.10763987729732,8092.0,1011060339.0,1635880038405.16,53046420.0,5259389.0,0.20748877283376466,0.12177997854981437,0.04795194473067177,0.026619822188471032,0.8626361803742615
uttar pradesh,2023,3,8094,2023-Q3,1361433436,1863230615478.42,58422771,5617414.0,1368.580032052643,9615.110519150145,10.400296470938407,23.303130144237766,31892.198599727835,242.35946220093444,8093.0,1220844008.0,1835097474392.21,55590099.0,5399393.0,0.11515756892669282,0.015330597681481706,0.05095641222009695,0.0403787981352719,0.7549639018952918
uttar pradesh,2023,4,8095,2023-Q4,1577265501,2264890592908.51,61516010,5820508.0,1435.9602688783527,9461.777511252762,10.568838664941273,25.639918795123418,36817.90468706455,270.9841651278548,8094.0,1361433436.0,1863230615478.42,58422771.0,5617414.0,0.15853295452632032,0.21557179991214137,0.05294577691290958,0.03615435857139948,0.7720137952712847
uttar pradesh,2024,1,8096,2024-Q1,1794266530,2483961606826.37,64960422,6019346.0,1384.3883087014783,9266.1744100123,10.791940187522034,27.620918626421485,38238.076822012794,298.0833017407539,8095.0,1577265501.0,2264890592908.51,61516010.0,5820508.0,0.13758053343740761,0.09672476657538476,0.055992123026184615,0.03416162300610193,0.7746384273906328
uttar pradesh,2024,2,8097,2024-Q2,2144136082,2705836943014.72,68189228,6248571.0,1261.97071432648,9163.57492711312,10.912771576093158,31.44391196216505,39681.29604011238,343.1402287018904,8096.0,1794266530.0,2483961606826.37,64960422.0,6019346.0,0.19499307719907133,0.08932317455253624,0.04970420296838585,0.03808137960502678,0.7562735844627253
uttar pradesh,2024,3,8098,2024-Q3,2285132385,2715325163720.84,71327157,6485244.0,1188.2572675196845,9092.25079586447,10.998376776571552,32.03734006950536,38068.60216958934,352.358737003573,8097.0,2144136082.0,2705836943014.72,68189228.0,6248571.0,0.06575902722950389,0.0035065751950109636,0.04601795755775395,0.03787634004638818,0.6784752927134661
uttar pradesh,2024,4,8099,2024-Q4,2542936824,3210878904579.13,74136023,6724830.0,1262.665621212118,9070.934382331245,11.024222619753957,34.300960870264106,43310.644065424574,378.141428705261,8098.0,2285132385.0,2715325163720.84,71327157.0,6485244.0,0.11281816348683882,0.18250254057205706,0.03938003585366512,0.036943251479820916,0.6122439896059071
uttar pradesh,2025,1,8100,2025-Q1,2618333992,3288600991414.5,77043398,6931337.0,1255.9898780913431,8996.66574934818,11.1152289955026,33.985183156121956,42685.046049169585,377.7530932343933,8099.0,2542936824.0,3210878904579.13,74136023.0,6724830.0,0.029649642605513726,0.02420586049649165,0.039216765107564555,0.030708136859965318,0.45927817758490996
uttar pradesh,2025,2,8101,2025-Q2,2874104324,3364968247717.47,79721010,7118781.0,1170.7884851703352,8929.6171736911,11.198688370944408,36.05203100161425,42209.302763693915,403.7354603267048,8100.0,2618333992.0,3288600991414.5,77043398.0,6931337.0,0.09768437975501798,0.02322180662912321,0.03475459376804735,0.027042978865404965,0.34044865348243314
uttar pradesh,2025,3,8102,2025-Q3,2995994617,3220415579009.78,82795120,7328300.0,1074.9069977417053,8851.125525272504,11.297998171472237,36.185642547531785,38896.2003921219,408.82532333556213,8101.0,2874104324.0,3364968247717.47,79721010.0,7118781.0,0.04240983599035153,-0.04295810779366005,0.03856085114827312,0.02943186480943849,0.3110814220945015
uttar pradesh,2025,4,8103,2025-Q4,3206270064,3696522346306.78,85800260,7586405.0,1152.9042384206284,8841.937075715156,11.309738934317375,37.3690017256358,43082.88047503329,422.63365375299634,8102.0,2995994617.0,3220415579009.78,82795120.0,7328300.0,0.07018552229928798,0.14784016398386512,0.03629610054312371,0.03522031030389039,0.2608532126081635
uttar pradesh,2026,1,8104,2026-Q1,3294478040,3761378430097.71,88629936,7724417.0,1141.7221133147118,8715.358882804563,11.473996807784976,37.17116573343797,42439.141895552195,426.5018369671135,8103.0,3206270064.0,3696522346306.78,85800260.0,7586405.0,0.027511087412878554,0.017545162105060186,0.032979806821098245,0.01819201584940422,0.2582344536892067
uttar pradesh,2026,2,8105,2026-Q2,3665306240,3938705461574.02,90563992,7866204.0,1074.5910992621507,8685.796447665425,11.5130489877964,40.472003928448736,43490.8551908138,465.9561638625187,8104.0,3294478040.0,3761378430097.71,88629936.0,7724417.0,0.11256053174359604,0.04714416131527166,0.021821701417002126,0.01835568949734334,0.27528642902525347
uttarakhand,2018,1,8072,2018-Q1,1451113,1711189177.22,499946,,1179.2253099655231,,,2.9025394742632202,3422.7480112252124,,,,,,,,,,,
uttarakhand,2018,2,8073,2018-Q2,1963467,3023055876.68,673206,,1539.6519914416692,,,2.9165916524808155,4490.536145964236,,8072.0,1451113.0,1711189177.22,499946.0,,0.35307656950216826,0.7666403673679494,0.3465574282022459,,
uttarakhand,2018,3,8074,2018-Q3,2523526,4119317467.98,835826,10.0,1632.3657723280837,1.1964212647129906,83582.6,3.019200168456114,4928.439014794945,252352.6,8073.0,1963467.0,3023055876.68,673206.0,,0.2852398334171138,0.3626335853586484,0.24156053273440814,,
uttarakhand,2018,4,8075,2018-Q4,3625698,6268906600.52,1050477,102.0,1729.0206190697627,9.709874656941562,10298.79411764706,3.451477757247422,5967.676208541454,35546.05882352941,8074.0,2523526.0,4119317467.98,835826.0,10.0,0.4367587256877876,0.5218313832932375,0.25681302089190816,9.2,
uttarakhand,2019,1,8076,2019-Q1,6519708,8342691139.59,1272751,7020.0,1279.6111635045618,551.5611458957801,181.30356125356124,5.122532215649408,6554.849408556741,928.7333333333333,8075.0,3625698.0,6268906600.52,1050477.0,102.0,0.7981938925966807,0.33080482310870307,0.21159339995068915,67.82352941176471,3.4929016554878913
uttarakhand,2019,2,8077,2019-Q2,6345096,10996460352.93,1468181,19747.0,1733.0644568545536,1344.9976535590638,74.34957208689927,4.32173962202208,7489.8533307065,321.3194915683395,8076.0,6519708.0,8342691139.59,1272751.0,7020.0,-0.026782181042463882,0.3180951049172389,0.1535492802598466,1.8129629629629629,2.2315776124579636
uttarakhand,2019,3,8078,2019-Q3,6691016,12093509975.5,1653220,28981.0,1807.425057046643,1753.0032300601251,57.044960491356406,4.047262917216099,7315.124409032071,230.87595321072428,8077.0,6345096.0,10996460352.93,1468181.0,19747.0,0.054517693664524636,0.0997638865016861,0.12603282565296792,0.46761533397478106,1.6514551464894756
uttarakhand,2019,4,8079,2019-Q4,8590151,15233913544.56,1825409,39058.0,1773.4162699305284,2139.6848596670666,46.735854370423475,4.705877422539277,8345.479585429895,219.93320190485943,8078.0,6691016.0,12093509975.5,1653220.0,28981.0,0.2838335762461186,0.2596767667469644,0.10415371214962321,0.3477105689934785,1.3692406262187307
uttarakhand,2020,1,8080,2020-Q1,9726841,16698596159.68,2023901,48320.0,1716.7543048848029,2387.4685570094584,41.885368377483445,4.805986557642889,8250.698112051923,201.30051738410597,8079.0,8590151.0,15233913544.56,1825409.0,39058.0,0.13232479848142376,0.09614618140215425,0.10873837041452084,0.23713451789646167,0.49191359490333
uttarakhand,2020,2,8081,2020-Q2,9154035,15661272266.92,2234769,52918.0,1710.85999419054,2367.9404895987013,42.23079103518651,4.096188465116529,7008.004973632622,172.98527911107752,8080.0,9726841.0,16698596159.68,2023901.0,48320.0,-0.05888921182118634,-0.06212042514476135,0.10418889066214199,0.09515728476821184,0.4426944840550875
uttarakhand,2020,3,8082,2020-Q3,12900421,23631778724.12,2456247,65658.0,1831.8610473348117,2673.1025014992383,37.40971397240245,5.252086211199444,9621.092147540536,196.47904291937007,8081.0,9154035.0,15661272266.92,2234769.0,52918.0,0.4092606156738532,0.5089309681458916,0.09910554513687986,0.24074983937412608,0.9280212452040169
