state,district,district_key,year,quarter,period_id,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy,positive_yoy_quarters_last4,average_yoy_last4,growth_percentile,intensity_percentile,low_penetration_percentile,scale_percentile,opportunity_score,equal_weight_score,no_intensity_score,opportunity_percentile,business_segment,opportunity_rank,equal_weight_rank,no_intensity_rank
bihar,gaya,bihar|gaya,2026,2,8105,2026-Q2,93692841,115999667055.51,1850142,104785,1238.084637,5663.61933,17.65655,50.64089,62697.71026,894.14364,8104,87829219,116641173136.3,1808853,102131,0.06676,-0.0054998,0.02283,0.02599,0.25113,4.0,0.30894,0.5007363770250368,0.6892488954344624,0.6759941089837997,0.8939617083946981,67.03240058910163,68.99852724594993,66.03829160530191,0.8645066273932254,EXPAND,93,73,91
goa,north goa,goa|north goa,2026,2,8105,2026-Q2,32267206,44147463987.34,722076,20847,1368.18366,2887.09222,34.63693,44.68672,61139.636253,1547.81052,8104,32187106,42618604145.44,716540,20650,0.00249,0.0358731,0.00773,0.00954,0.24577,4.0,0.1909225,0.4786450662739323,0.93519882179676,0.96759941089838,0.5154639175257731,72.23858615611192,72.42268041237114,65.89837997054492,0.9248895434462445,EXPAND,52,45,92
kerala,kozhikode,kerala|kozhikode,2026,2,8105,2026-Q2,33385313,35843449264.67,1633191,97156,1073.629271,5948.84493,16.80999,20.44177,21946.881452,343.62585,8104,31964658,35212021258.01,1589307,95963,0.04444,0.0179322,0.02761,0.01243,0.26072,4.0,0.2049525,0.5743740795287187,0.12076583210603829,0.6111929307805597,0.8586156111929307,52.70250368188512,54.123711340206185,65.8321060382916,0.593519882179676,DEVELOP,277,252,93
andhra pradesh,chittoor,andhra pradesh|chittoor,2026,2,8105,2026-Q2,96240891,140514197718.76,1126392,50979,1460.025944,4525.86666,22.09522,85.44174,124747.15527,1887.85365,8104,91197763,132653914130.77,1104837,49320,0.0553,0.0592541,0.01951,0.03364,0.24228,4.0,0.2273825,0.45508100147275404,0.979381443298969,0.845360824742268,0.7201767304860088,73.67452135493373,75.0,65.79528718703976,0.9396170839469808,EXPAND,42,27,94
assam,golaghat,assam|golaghat,2026,2,8105,2026-Q2,11228754,9487475595.69,425542,18623,844.926837,4376.30128,22.85035,26.38695,22295.039257,602.95087,8104,10494302,9945577756.23,407235,17324,0.06999,-0.0460609,0.04495,0.07498,0.28463,4.0,0.3569375,0.7172312223858616,0.41384388807069217,0.8630338733431517,0.2709867452135493,58.85861561119293,56.62739322533137,65.6701030927835,0.727540500736377,DEVELOP,186,221,95
west bengal,kalimpong,west bengal|kalimpong,2026,2,8105,2026-Q2,3031832,3556603728.07,102778,2898,1173.087337,2819.66958,35.46515,29.49884,34604.718209,1046.18081,8104,2658589,3118318340.34,101385,2832,0.14039,0.1405518,0.01374,0.02331,0.30015,4.0,0.3747,0.7908689248895434,0.7628865979381443,0.9690721649484536,0.0014727540500736377,67.05449189985272,63.10751104565537,65.58910162002944,0.865979381443299,EXPAND,92,130,96
bihar,banka,bihar|banka,2026,2,8105,2026-Q2,26011792,29187204208.37,653038,38472,1122.075873,5891.23451,16.97437,39.83197,44694.495892,676.12269,8104,24274212,28459178465.37,623881,37166,0.07158,0.0255814,0.04673,0.03514,0.30606,4.0,0.33158,0.8085419734904271,0.5022091310751104,0.6244477172312224,0.45508100147275404,61.52430044182622,59.75699558173785,65.57437407952872,0.7702503681885126,EXPAND,157,169,97
punjab,hoshiarpur,punjab|hoshiarpur,2026,2,8105,2026-Q2,9789677,14262689120.91,566617,33238,1456.911103,5866.04355,17.04727,17.27741,25171.657612,294.53267,8104,8720387,13561378484.04,544909,32928,0.12262,0.0517138,0.03984,0.00941,0.31273,4.0,0.2719575,0.8350515463917526,0.08394698085419734,0.6332842415316642,0.390279823269514,50.7879234167894,48.564064801178205,65.3240058910162,0.5449189985272459,DEVELOP,309,339,98
maharashtra,solapur,maharashtra|solapur,2026,2,8105,2026-Q2,234327059,299971694631.28,2688732,178647,1280.141081,6644.28437,15.05053,87.15151,111566.230711,1311.67643,8104,221152066,287071144873.93,2639327,174751,0.05957,0.0449385,0.01872,0.02229,0.26809,4.0,0.292405,0.6318114874815906,0.8762886597938144,0.46097201767304863,0.946980854197349,71.32547864506627,72.90132547864508,65.08100147275404,0.9131075110456554,DEFEND,60,43,99
nagaland,chumoukedima,nagaland|chumoukedima,2026,2,8105,2026-Q2,2459057,2841541200.48,104347,3389,1155.541006,3247.81738,30.78991,23.56615,27231.652089,725.59959,8104,2218803,2884563199.65,99896,3117,0.10828,-0.0149146,0.04456,0.08726,0.30001,4.0,0.4224875,0.7893961708394698,0.5625920471281296,0.9528718703976435,0.004418262150220913,61.65684830633285,57.73195876288659,65.03681885125184,0.7746686303387335,EXPAND,154,198,100
